google,youtube,youtubeComments
0,0,0
0,0,1.63
1,1,1.77
3,2,5.16
5,4,8.98
8,7,8.07
15,13,15.29
24,23,21.62
35,35,31.55
51,51,38.03
80,72,48.71
97,95,45.77
100,100,41.05
99,98,38.01
94,89,43.69
99,90,27.47
90,84,24.18
82,76,20.51
84,75,23.97
83,73,33.3
86,75,32.89
81,62,24.85
81,57,20.65
94,85,100
100,71,30.27
95,66,20.76
59,47,13.24
52,41,12.56
48,39,12.84
45,37,10.49
48,37,9.59
43,34,10.04
37,30,9.35
37,30,4.99
32,27,6.83
29,25,4.54
27,23,4.69
27,22,5.82
23,20,3.21
22,20,6.94
25,28,3.63
21,21,4.64
21,19,4.44
18,17,3.56
16,16,3.51
16,15,3.75
15,14,3.74
14,13,3.35
13,13,3.31
12,12,2.87
12,12,3.24
11,12,3.04
10,11,2.49
