google,youtube,youtubeComments
0,0,0
11,9,40
21,17,38
23,21,37
36,35,42
55,48,53
52,46,50
55,49,55
60,51,72
78,64,75
83,79,76
99,91,87
94,92,92
94,95,100
100,100,87
98,99,90
92,96,82
88,84,73
86,82,67
85,83,62
81,75,60
76,68,56
68,64,46
65,61,39
65,57,39
60,52,35
55,50,32
52,47,32
50,43,28
48,41,28
44,41,25
41,38,22
38,35,22
37,33,23
33,31,23
31,28,23
31,27,19
28,25,18
29,25,21
26,23,23
25,22,23
23,21,23
23,21,21
22,20,31
22,20,34
27,23,30
20,19,30
19,19,30
18,19,28
18,18,24
18,17,25
17,17,25
17,16,25
